IDCOMMANDES;NUMCOMMANDE;IDOFFRES;DATECOMMANDE;MONTANTHONOTAIRE;DATEDEMARRAGE;DUREE;NUMAFFAIRE;ADRESSEFACTURATION;EXONERETVA;PRECOMPTETVA
744;P-125-07/BD;1271;18/06/2007;600000;18/06/2007;;1126-CT-07;"Cabinet TABAKH / Monsieur Malick DIOP 
Point E / Rue 2 x B  villa 5B - DAKAR";0;0
745;P-241A-07/BD;1272;08/10/2007;1150000;08/10/2007;;1192-CT-07;"Cabinet TABAKH / Monsieur Malick DIOP 
Point E / Rue 2 x B  villa 5B - DAKAR";0;0
746;P-249-07/BD;1273;17/10/2007;1150000;17/10/2007;;1194-CT-07;"Cabinet TABAKH / Monsieur Malick DIOP 
Point E / Rue 2 x B  villa 5B - DAKAR";0;0
747;P-009-07/BD;1274;26/01/2007;5300000;26/01/2007;10 Mois;1061-CT-07;"CBAO / Monsieur Le Directeur GÈnÈral
 1, Place de l'IndÈpendance 
 B.P. 129 - DAKAR";0;0
748;P-187B-06/BD;1275;03/07/2007;1600000;03/07/2007;8 Mois;1138-CT-07;"CENTIF /  Monsieur KANE					
VDN x Route du Camp Leclerc
 DAKAR ";0;1
749;P-123-07/BD;1277;04/06/2007;7000000;04/06/2007;16 Mois;1114-CT-07;"CGC  SENEGAL / Monsieur WANG Xiaozhen 
 Villa 38G, Hann Maristes 1    
 BP 48188 MÈdina DAKAR / SENEGAL ";0;0
750;P-113-07/FS;1278;09/05/2007;100000;01/05/2007;;1106-CT-07;"COGECO  / Monsieur Le Directeur 
2678 HLM 6 ? Avenue Ahmadou Bamba
 BP 3680 ? Dakar";0;0
751;P-201-07/BD;1279;13/08/2007;84746;13/08/2007;;1166-CT-07;"COGECO  / Monsieur Le Directeur 
2678 HLM 6 ? Avenue Ahmadou Bamba
 BP 3680 ? Dakar";0;0
752;P-313-07/BE;1280;13/12/2007;1787855;01/12/2007;4 Mois;1228-CT-07;"Monsieur le PrÈsident CONACHAP
Direction des Services PÈnitentiaires 
SacrÈ coeur III  Dakar";0;0
753;P-053-10/ABD ;1281;09/03/2010;250000;09/03/2010;05 JOURS OUVRABLES   ;1652-CT-10;Hann Mariste 2 villa F51 - Dakar ;0;0
754;P-236-07/BD;1282;27/09/2007;1000000;27/09/2007;;1180-CT-07;"CONCEPT ""A"" / M. Mbaye WADE
18, Avenue Lamine GUEYE - BP 12206 DAKAR";0;0
755;P-074-07/BD;1283;16/03/2007;100000;01/03/2007;;1085-CT-07;"CONSTECH / Monsieur le Directeur
 Immeuble F - Appartement 3 jet d?eau
BP 10613 Dakar libertÈ ";0;0
756;P-166-07/BD;1284;06/07/2007;1363036;01/07/2007;6 Mois;1142-CT-07;"COOPERATIVE D'HABITAT MTOA/SAII 
 Mr Boubacar Ndione et Mme HÇläne Faye Mbouki
 Km 2.5 Bd du centenaire de la commune de Dakar 
DAKAR";0;0
757;P-115A-07/BD;1285;13/06/2007;771660;01/06/2007;3 Mois;1123-CT-07;"COOPERATIVE SATS / Monsieur le PrÈsident 
Avenue FÈlix Eboue 
BP : 3213 - DAKAR ";0;0
759;P-112-07/BD;1286;10/07/2007;4000000;01/07/2007;12 Mois;1143-CT-07;"COSE  SARL / Monsieur Alassane FAYE
Rue 1 x D Point E			
 DAKAR - SENEGAL";0;0
760;P-152-07/BD;1287;26/06/2007;847457;01/07/2007;3 Mois;1131-CT-07;"Cours Primaire et Secondaire SacrÈ coeur 
BP 10021 ? Dakar/libertÈ ";0;0
761;P-218-07/BD;1289;05/09/2007;2118644;05/09/2007;4 Mois;1173-CT-07;"CREDIT DU SENEGAL   / Monsieur le Directeur GÈnÈral   
Bd Djily Mbaye x rue Huart    
BP 56 - DAKAR";0;0
762;P-271-07/BD;1290;15/11/2007;1694915;15/11/2007;;1216-CT-07;"FICR  / Monsieur le Chef de Zone   
 Almadies / Route du MÈridien PrÈsident
BP 25956 ? Dakar Fann
 DAKAR ";0;1
763;P-129A-07/SN;1291;04/06/2007;500000;04/06/2007;;1115-CT-07;"CROWN SENEGAL  / Monsieur le Directeur 
 Route du Service GÇographique ? BP 3850
Dakar ? SÈnÈgal ";0;0
764;07/148;1293;14/06/2007;2400000;01/06/2007;6 Mois;1124-CT-07;"C.S.S.  Monsieur Ahmadou YÇri DIOP  
 Place de l'O.I.T. colobane
 BP 102 - DAKAR";0;0
765;011/FM;1294;11/12/2007;5264809;01/12/2007;6 Mois;1227-CT-07;"Directeur du Projet/ Monsieur Serigne LY
Terminus libertÈ VI 
 DAKAR .";0;0
766;P-057-07/BD;1295;13/03/2007;250000;01/03/2007;;1083-CT-07;"DAROU SALAM	
BP 19046 GUEDIAWAYE ";1;0
767;P-134-07/BD;1296;11/06/2007;150000;01/06/2007;;1120-CT-07;"DAROU SALAM / Monsieur le Directeur 	
BP 19046 GUEDIAWAYE ";0;0
768;P-131-07/BD;1297;05/06/2007;400000;05/06/2007;;1116-CT-07;DIGI  CAO / Monsieur le Directeur HLM 6 Villa N∞ 2610 / BP 50455 DK-RP;0;0
769;P-258A-07/BD;1298;15/11/2007;5084746;15/11/2007;10 Mois;1214-CT-07;9, CitÈ Millionnaire - route de l'Aeroport - Dakar ;0;0
770;P-247-07/NGD;1299;31/10/2007;1600000;01/11/2007;7 Mois;1204-CT-07;"EGBTP /  Monsieur Alssane Ndiaye
Touba MosquÈe 
 BP 1232 ";1;0
771;P-314-07/BD;1300;17/12/2007;600000;01/12/2007;6 Mois;1229-CT-07;"EGBTP /  Monsieur Alssane Ndiaye
Touba MosquÈe 
 BP 1232 ";0;0
772;P-318-07/FS;1301;18/12/2007;984000;01/12/2007;6 Mois;1232-CT-07;"EGBTP /  Monsieur Alssane Ndiaye
Touba MosquÈe 
 BP 1232 ";0;0
773;P-157-07/NGD;1302;25/06/2007;1600000;01/07/2007;6 Mois;1130-CT-07;"EGBTP /  Monsieur Alssane Ndiaye
Touba MosquÈe 
 BP 1232 ";1;0
774;P-185-07/BD;1303;26/07/2007;200000;26/07/2007;;1160-CT-07;"EGCB  
 AllÈes Papa Guäye FALL / DAKAR   
TÇl. : 821-29-21 / Fax : 823 28 31
";1;0
775;P-202-07/BD ;1304;13/08/2007;900000;01/08/2007;4 Mois;1165-CT-07;"EGCB  S/C AGETIP 
Bd Djily MBAYE x BÈranger FERRAUD 
 BP 143 -Dakar  ";1;0
776;P-190-07/BD;1305;07/08/2007;2400000;01/08/2007;12 Mois;1163-CT-07;"ENTRAD / Monsieur BA 
 Arafat 2 villa 146 Rufisque 
Rufisque BP 315";0;0
777;P-020A-07/BD;1306;07/02/2007;5084746;01/02/2007;14 Mois;1066-CT-07;"ESCI / M. Le  Directeur GÈnÈral Avenue Bourguiba LibertÈ I Villa N∞1036  DAKAR
";0;0
778;P-158-07/BE;1307;03/07/2007;12288136;01/07/2007;12 Mois;1139-CT-07;ESCI - CSTI / M. le Directeur GÈnÈral    S/C ESCI 1036  Avenue BourguiBa  LibertÈ I Villa N∞ 1036 / Dakar;0;0
779;P-116-07/BD;1308;09/05/2007;250000;01/05/2007;;1107-CT-07;"Entreprise AMRI YOUSSEF de travaux Publics et Hydrauliques    
 Monsieur le Directeur 
 BP 3812 ? Dakar  ";0;0
780;P-138-07/BD;1309;12/06/2007;200000;12/06/2007;;1122-CT-07;ENTREPRISE CIE SEN  / Monsieur le Directeur 14, rue Galandou DIOUF / BP 6901 ? Dakar  ;0;0
781;P-211A-07/BD;1310;29/08/2007;900000;01/08/2007;6 Mois;1171-CT-07;"ESEBTP / Monsieur le Directeur 
 Km 15 Route de Rufisque 
 DAKAR ";0;0
782;P-220-07/BD;1311;30/11/2007;890000;01/11/2007;6 Mois;1219-CT-07;"ESMB / Monsieur DIA	
Champ de courses ? Avenue du GÈnÈral de GAULLE
 BP 2633 - DAKAR";0;0
783;P-321-07/BD;1312;24/12/2007;847458;01/12/2007;4 Mois;1235-CT-07;ETDM SUARL  / Monsieur MBAYE Moustapha SONEPI Lot N∞ 14 BP 26285  DAKAR;0;0
784;P-006A-07/SN;1313;05/02/2007;1200000;01/02/2007;;1063-CT-07;"ETPB  /  Monsieur le Directeur GÈnÈral  
Avenue FÈlix Eboue x Route des Brasseries 
BP 10401 - DAKAR";0;0
785;P-308A-06/ND;1314;03/01/2007;200000;03/01/2007;;1049-CT-07;"LA FINANCIERE DU  SENEGAL /  Monsieur ALBERT   RÈsidence San Marco  
BP 45643 Fann  - DAKAR";0;0
786;FONDEF-13-03-07;1315;24/04/2007;3245000;15/03/2007;03 MOIS;1100-CT-07; FONDEF   / Mme  Fatouma KonÈ TRAORE Mermoz Pyrothecnie N∞ 7648 Bis   BP : 45 855 Dakar Fann;0;0
787;P-228-07/BD;1316;13/09/2007;200000;13/09/2007;;1177-CT-07;"FOUGEROLLE SENEGAL SA /  Mlle Aãssatou NDIAYE  
Avenue FÈlix Eboue x Route des Brasseries 
 BP 737 - DAKAR";0;0
788;P-300-06/BD;1317;05/07/2007;1270000;01/07/2007;5 Mois;1140-CT-07;Rue FÈlix EbouÇ x Route des brasseries;0;0
789;P-016-07/BD;1318;22/01/2007;300000;22/01/2007;;1057-CT-07;Rue FÈlix EbouÇ x Route des brasseries;0;0
790;P-303-06/BD;1319;02/01/2007;300000;02/01/2007;;1048-CT-07;Rue FÈlix EbouÇ x Route des brasseries;0;0
791;P-312-06/BD;1320;17/01/2007;200000;17/01/2007;;1052-CT-07;"GENEBATCO /  Monsieur Victor NGOM  
 BP : 19238 ? GuÈdiawaye  
DAKAR";0;0
792;P-013A-07/BD;1321;17/01/2007;423729;17/01/2007;;1053-CT-07;" GENEBATCO /  Monsieur Victor NGOM  
  BP : 19238 ? GuÈdiawaye  / 2024  espace HLM Maristes 
 DAKAR";0;0
793;P-195-07/BD;1322;08/08/2007;2000000;01/08/2007;8 Mois;1164-CT-07;GETRAP / Monsieur Ibrahima KONATE SacrÈ Coeur 3, villa N∞ 9141 Dakar ;0;0
794;P-137A-07/BD;1323;19/07/2007;133000000;01/07/2007;36 Mois;1151-CT-07;"Groupement HENAN CHINE / SVTP-GC            	        
Monsieur BAO FEI / Directeur GÈnÈral 	
Almadies Zone 10 ? lot C 
BP 8109 ? Dakar Yoff";0;0
795;P-128A-07/BD;1324;29/05/2007;3200000;29/05/2007;;1113-CT-07;"KFE S/C AGETIP   
 Bd Djily MBAYE x BÈranger FERRAUD 
 BP 143 -Dakar";1;0
796;P-161B-07/BE;1326;19/10/2007;3813560;19/10/2007;14 Mois;1201-CT-07;"M. et Mme Boubacar SARR LOCOTTE   
SacrÈ coeur ? DAKAR ";0;0
797;P-012-07/BD;1327;31/01/2007;3300000;31/01/2007;12 Mois;1062-CT-07;"Monsieur Sangue NDAO   
Rue B Point E   
DAKAR";0;0
799;P-029-07/BD;1328;20/03/2007;1400000;20/03/2007;12 Mois;1086-CT-07;"Monsieur Sangue NDAO   
Rue B Point E   
DAKAR";0;0
800;1/BCP/GTP;1329;03/09/2007;13148550;03/09/2007;3 Mois;1172-CT-07;"Direction des Travaux de Dakar / Le Capitaine Georges MATRY
 BP. 4031 -  Dakar";1;0
801;04/BC/BCP/GTP;1330;03/09/2007;179700;10/09/2007;3 Mois;1172-A-CT-07;"Direction des Travaux de Dakar / Le Capitaine Georges MATRY
BP. 4031 -  Dakar";1;0
802;03/BC/BCP/GTP;1331;03/09/2007;349900;10/09/2007;3 Mois;1172-B-CT-07;"Direction des Travaux de Dakar / Le Capitaine Georges MATRY
 BP. 4031 -  Dakar";1;0
803;02/BC/BCP/GTP;1332;03/09/2007;283625;10/09/2007;3 Mois;1172-C-CT-07;"Direction des Travaux de Dakar / Le Capitaine Georges MATRY
BP. 4031 -  Dakar ";1;0
804;01/BC/BCP/GTP;1333;03/09/2007;3890208;10/09/2007;3 Mois;1172-D-CT-07;"Direction des Travaux de Dakar / Le Capitaine Georges MATRY
 BP. 4031 -  DAKAR";1;0
805;06/BC/BCP/GTP;1334;03/09/2007;973400;10/09/2007;3 Mois;1172-E-CT-07;"Direction des Travaux de Dakar / Le Capitaine Georges MATRY
BP. 4031 -  DAKAR ";1;0
806;07/BC/BCP/GTP;1335;03/09/2007;468900;10/09/2007;3 Mois;1172-F-CT-07;"Direction des Travaux de Dakar / Le Capitaine Georges MATRY
 BP. 4031 -  DAKAR 
";1;0
807;08/BC/BCP/GTP;1338;03/09/2007;1034752;10/09/2007;3 Mois;1172-G-CT-07;"Direction des Travaux de Dakar / Le Capitaine Georges MATRY
BP. 4031 -  DAKAR";1;0
808;09/BC/BCP/GTP;1339;03/09/2007;493950;09/10/2007;3 Mois;1172-H-CT-07;"Direction des Travaux de Dakar / Le Capitaine Georges MATRY
BP. 4031 -  DAKAR";1;0
809;010/BC/BCP/GTP;1340;03/09/2007;1069700;10/09/2007;3 Mois;1172-I-CT-07;"Direction des Travaux de Dakar / Le Capitaine Georges MATRY
BP. 4031 -  DAKAR";1;0
810;011/BC/BCP/GTP;1341;03/09/2007;2845535;10/09/2007;3 Mois;1172-J-CT-07;"Direction des Travaux de Dakar / Le Capitaine Georges MATRY
 BP. 4031 -  DAKAR";1;0
812;012/BC/BCP/GTP;1342;03/09/2007;750500;10/09/2007;3 Mois;1172-K-CT-07;"Direction des Travaux de Dakar / Le Capitaine Georges MATRY
BP. 4031 -  DAKAR";1;0
813;013/BC/BCP/GTP;1343;03/09/2007;731380;10/09/2007;3 Mois;1172-L-CT-07;"Direction des Travaux de Dakar / Le Capitaine Georges MATRY
 BP. 4031 -  DAKAR";1;0
814;2007/MO/23 ;1344;31/10/2007;4900000;01/11/2007;8 Mois;1205-CT-07;"Direction des Travaux de Dakar 
BP. 4031 -  DAKAR";1;0
815;2007/MIS/917;1345;30/11/2007;650000;30/11/2007;1 Semaies;1220-CT-07;"Direction des Travaux de Dakar 
BP. 4031 -  DAKAR";1;0
816;P-151D-06/BD;1346;17/01/2007;5000000;02/01/2007;20 Mois;1054-CT-07;AL MAHDI SARL / M. Le Directeur GÈnÈral RÈsidence Galiba Parcelle N∞ 10B Almadies  DAKAR;0;0
817;P-154-07/BD;1347;24/07/2007;2700000;24/07/2007;6 Mois;1154-CT-07;"Cabinet GUEYE ARCHI URBA / Monsieur GUEYE
 Avenue Cheikh  A.  Bamba X Rue 38
BP : 12554 Colobane - DaKAR";0;0
818;P-130-07/BD;1348;24/07/2007;1880000;24/07/2007;6 Mois;1153-CT-07;"Cabinet GUEYE ARCHI URBA / Monsieur GUEYE
Avenue Cheikh  A.  Bamba X Rue 38
BP : 12554 Colobane - DAKAR";0;0
819;P-155-07/BD;1349;24/07/2007;2700000;24/07/2007;6 Mois;1155-CT-07;"Cabinet GUEYE ARCHI URBA / Monsieur GUEYE
Avenue Cheikh  A.  Bamba X Rue 38
BP : 12554 Colobane - DAKAR";0;0
820;P-114A-07/MP;1350;24/07/2007;3389830;24/07/2007;10 Mois;1157-CT-07;"Monsieur Thierno SEYDI S/C Cabinet GUEYE ARCHI URBA
 Avenue Cheikh  A.  Bamba X Rue 38
BP : 12554 Colobane - DaKAR";0;0
821;P-021-07/BD;1351;05/02/2007;7300000;01/03/2007;13 Mois;1075-CT-07;"EGCD / Monsieur le Directeur GÈnÈral
BP 146 MBOUR";0;0
822;P-081-07/BD;1352;13/04/2007;3000000;01/04/2007;8 Mois;1094-CT-07;"EGCD / Monsieur le Directeur GÈnÈral
Avenue Seydou Nourou TALL /  BP 146 MBouR";0;0
823;P-082- 07/BD;1353;13/04/2007;1500000;01/04/2007;15 Jours;1093-CT-07;"EGCD / Monsieur le Directeur GÈnÈral
Avenue Seydou Nourou TALL /  BP 146 MBouR";0;0
824;CCP-05-07;1354;11/06/2007;6750000;01/09/2007;12 Mois;1121-CT-07;"Ambassade de France  /  Monsieur le TrÈsorier de l'Ambassade                      
de France  BP 402 ? DAKAR";1;0
825;P-309-06/BE;1355;08/05/2007;14500000;02/01/2007;4 Mois;1104-CT-07;SATTAR / Monsieur Omar DIEYE Sicap AmitiÈ 3 Villa N∞ 4331 Bourguiba BP15981 DAKAR FANN;0;0
826;4051;1356;24/05/2007;1250000;01/05/2007;;1109-CT-07;"TOTAL  SENEGAL 
Km 3, Bd. du Centenaire de la Commune de Dakar
BP 355 ? DAKAR / CP 18524";0;0
827;4052;1357;24/05/2007;1000000;01/05/2007;;1110-CT-07;"TOTAL  SENEGAL 
Km 3, Bd. du Centenaire de la Commune de Dakar
 BP 355 ? DAKAR / CP 18524";0;0
828;P-140-07/FS;1358;21/06/2007;600000;01/05/2007;;1128-CT-07;"TOTAL  SENEGAL 
Km 3, Bd. du Centenaire de la Commune de Dakar
BP 355 ? DAKAR / CP 18524";0;0
829;P-061-07/BD;1359;29/06/2007;12500000;01/07/2007;;1137-CT-07;"TOTAL  SENEGAL 
Km 3, Bd. du Centenaire de la Commune de Dakar
 BP 355 ? DAKAR / CP 18524";0;0
830;1489;1360;23/08/2007;7800000;01/08/2007;2 Mois;1167-CT-07;"TOTAL  SENEGAL 
Km 3, Bd. du Centenaire de la Commune de Dakar
 BP 355 ? DAKAR / CP 18524";0;0
831;P-138-07/BD;1361;12/06/2007;200000;12/06/2007;;1122-CT-07;"ENTREPRISE CIE SEN  / Monsieur le Directeur 
14, rue Galandou DIOUF / BP 6901 ? Dakar";0;0
832;P-211A-07/BD;1362;29/08/2007;900000;01/08/2007;6 Mois;1171-CT-07;"ESEBTP / Monsieur le Directeur 
 Km 15 Route de Rufisque 
DAKAR ";0;0
833;P-220-07/BD;1363;30/11/2007;890000;01/11/2007;6 Mois;1219-CT-07;"ESMB / Monsieur DIA	
Champ de courses ? Avenue du GÈnÈral de GaULLE BP 2633 - DAKAR";0;0
834;P-321-07/BD;1364;24/12/2007;847458;01/12/2007;4 Mois;1235-CT-07;SONEPI N∞14 - Dakar BP 26285;0;0
835;P-006A-07/SN;1365;05/02/2007;1200000;01/02/2007;;1063-CT-07;"ETPB  /  Monsieur le Directeur GÈnÈral  
Avenue FÈlix Eboue x Route des Brasseries 
BP 10401 - DAKAR";0;0
836;P-308A-06/ND;1366;03/01/2007;200000;03/01/2007;;1049-CT-07;"LA FINANCIERE DU  SENEGAL /  Monsieur ALBERT   RÈsidence San Marco  
BP 45643 Fann  - DAKAR";0;0
837;P-212-07/BD;1368;27/09/2007;400000;01/09/2007;15 Jours;1181-CT-07;Monsieur Sidya BODIAN Villa N∞ 9   CitÈ des Magistrats Mamelles / Ouakam DAKAR  ;0;0
838;P-034-07/SN;1369;05/02/2007;950000;01/02/2007;10 Jours;1064-CT-07;"MAERSK LINE   /  Monsieur le Directeur GÈnÈral  
 Km  3,5 Bd du Centenaire de la Commune de Dakar 
 BP 3836 - DAKAR";0;0
839;P-056-07/MP;1370;05/03/2007;200000;05/03/2007;;1076-CT-07;"Madame DIA Bineta BA / Architecte 
 7541, avenue Cheikh Anta DIOP / DAKAR ";0;0
840;P-041-07/NGD;1371;12/02/2007;150000;12/02/2007;;1068-CT-07;BETA / Madame NdËye NgonÇ SARR DIOP Ouest Foire villa N∞ 16 - DAKAR;0;0
841;P-059A-07/BD;1372;06/04/2007;400000;06/04/2007;;1095-T-07;"Madame Mame Dior COULIBALY
DAKAR";0;0
842;P-024A-07/SN;1373;11/04/2007;1200000;11/04/2007;10 Mois;1092-CT-07;"Madame Sokhna Khady FALL 
Hann  Marinas  / DAKAR";0;0
843;P-303-07/BD;1374;30/11/2007;164000;30/11/2007;;1224-CT-07;"Monsieur DiÈry SECK / SCI MONTOIT  
 Zone 15 ? Almadies
BP 29981 - DAKAR";0;0
844;P-146A-07/BD;1375;18/06/2007;847457;18/06/2007;4 Mois;1125-CT-07;Monsieur Alioune THIAM   SacrÈ Coeur III Villa N∞ 9481 / DAKAR;0;0
845;P-149-07/BD;1376;20/06/2007;762712;01/06/2007;15 Jours;1127-CT-07;"Monsieur Demba SY  
Sandaga ? 7, rue Eli Manel FALL  
DAKAR";0;0
846;P-306-06/MP;1377;09/01/2007;300000;09/01/2007;;1051-CT-07;"Monsieur FrÈdÈric DIEDHIOU 
DAKAR ";0;0
847;P-168-07/BD;1378;16/07/2007;150000;16/07/2007;;1146-CT-07;AMA ARCHI / Monsieur Lamine BA Sicap LibertÈ III  N∞ 2082 BIS DAKAR;0;0
848;P-210-07/BD;1379;23/08/2007;194915;23/08/2007;;1168-CT-07;"Monsieur Ousmane DIOP  
 Usine Ben Talli - DAKAR";0;0
849;P-004-07/BD;1380;09/01/2007;650000;09/01/2007;;1050-CT-07;"Monsieur Simon COLY
DAKAR ";0;0
850;49;1381;26/01/2007;950000;02/01/2007;;1059-CT-07;"NESTLE SENEGAL / M. DIAW
Km 14 Route de Rufisque  
BP 796 ? DAKAR ";0;0
851;DU70591;1382;27/09/2007;2300000;01/09/2007;;1184-CT-07;"NESTLE SENEGAL / M. Basile KOUAMEN
Km 14 Route de Rufisque  
BP 796 ? DAKAR ";0;0
852;P-151-07/BD;1384;26/06/2007;84745;26/06/2007;;1132-CT-07;"OMNIBAT 
Bd Cheikh Anta DIOP 
Dakar ";0;0
853;P-162-07/BD;1385;05/07/2007;250000;05/07/2007;;1141-CT-07;"OMNIBAT - Monsieur le Directeur   
Avenue Cheikh Anta DIOP
 DAKAR";0;0
854;P-168 BIS-07/ND.N;1387;16/07/2007;100000;16/07/2007;;1145-T-07;"OMNIBAT - Monsieur le Directeur   
 Avenue Cheikh Anta DIOP
 DAKAR";0;0
855;P-086-06/SN;1388;30/11/2007;500000;01/12/2007;1 Mois;1223-CT-07;"OXFAM GB  / Monsieur le Directeur  
13, Mermoz Pyrotechnie  
 BP 3476 DAKAR";0;0
856;P-046A-07/BD;1389;26/02/2007;13600000;01/02/2007;15 Mois;1071-CT-07;"PALBLOCK BTP SA / Monsieur le Directeur   
Rue 7 x G Point E 
 BP 5868 - DAKAR";0;0
857;P-006A-07/SN;1390;05/02/2007;1200000;01/02/2007;;1063-CT-07;"ETPB  /  Monsieur le Directeur GÈnÈral  
 Avenue FÈlix Eboue x Route des Brasseries 
BP 10401 - DAKAR";0;0
858;P-015B-07/BE;1391;06/09/2007;28917000;06/09/2007;10 Mois;1174-CT-07;P.C.R.P.E. / Monsieur Le Directeur GÈnÈral Bd Dial DIOP, Place de l'ONU  DAKAR ;0;0
859;P-054-07/BD;1392;03/05/2007;2500000;01/05/2007;5 Mois;1102-CT-07;PETROSEN / Monsieur Serigne MBOUP Directeur GÈnÈral  Route du service gÈographique;0;0
860;P-079-07/NGD;1393;02/04/2007;4500000;01/04/2007;4 Mois;1091-CT-07;R. CONSTRUCTION   / Monsieur RAJKO Route de Ngor Almadies  RÈsidence Galiba ;0;0
861;P-268A-07/BD;1394;05/11/2007;2600000;05/11/2007;3 Mois;1206-CT-07;S.A.S. SARL  S/C AGETIP Bd Djily MBAYE x BÈranger FERRAUD  BP 143 - DakAr;1;0
862;P-272-07/BD;1395;15/11/2007;2700000;15/11/2007;6 Mois;1215-CT-07;S.A.S. SARL  S/C AGETIP  Bd Djily MBAYE x BÈranger FERRAUD  BP 143 - DakAr;1;0
863;P-022-07/BD;1396;26/01/2007;1000000;26/01/2007;;1058-CT-07;SAGEF / Mme Yacine DIOP 16, Rue de THIONG x  MoussÈ DIOP BP : 1359 - DAKAR;0;0
864;P-141-07/SN;1397;21/06/2007;1800000;01/06/2007;1 Mois;1129-CT-07;SAR ? Monsieur Abdou Waly NDIAYE km 18 Route de Rufisque  BP 203 / Dakar  SÈnÈgal;0;0
865;07/146;1398;12/03/2007;7000000;01/05/2007;15 Mois;1080-CT-07;SARL BOURSE DE L IMMOBILIER  107, Rue Joseph GOMIS x Amadou A. NDOYE DAKAR;1;0
866;P-181-07-BD;1399;24/07/2007;100000;24/07/2007;;1156-CT-07;SARRE CONS   Monsieur le Directeur  67557 libertÈ 6 - DAKAR ;0;0
867;P-245-07-EMK;1400;01/10/2007;200000;01/10/2007;;1186-CT-07;SARRE CONS  Monsieur le Directeur 67557 libertÈ 6 - DAKAR ;0;0
868;P-062B-07/SN;1401;24/07/2007;11508300;01/11/2007;14 Mois;1159-CT-07;Pr Aliou DIACK / MaÓtre d'Ouvrage DÈlÈguÈ  SCI CLAIR DE LUNE Yoff Toundoup Rya  faCe studio 2000  BP 29025 dakar ? YOff;0;0
869;P-311B-06/BD;1402;26/03/2007;2500000;26/03/2007;15 a 24 Mois;1089-CT-07;"SCI IMMOBILIERE DE LA TERANGA S/C 
 ATLANTIC ARCHITECTURE 
  ReprÈsentÈe par le Docteur Joseph SAYeGH    
Corniche ouest x rue 9 DAKAR / BP 32330 DakaR Ponty ";0;0
870;P-294-07/BE;1403;26/11/2007;8400000;01/11/2007;18 Mois;1218-CT-07;"SCI JUMENI / Monsieur Abdourahmane NDIAYE            	               
 Yoff Rte de l?Aeroport - Dakar
 Immeuble Global Business Group 
   (En facE Imprimerie Tandian";0;0
871;P-096A-07/BD;1404;06/06/2007;139037184;01/06/2007;12 Mois par Tranche;1117-CT-07;"SCI  KEUR DIAW  / Monsieur le Directeur  150, route Front de terre x Gendarmerie 
1er Ètage BP : 1270 - DAKAR";0;0
872;P-222-07/BD;1405;28/09/2007;350000;01/09/2007;6 Mois;1183-CT-07;"SCPI / Monsieur MBACKE 
38, Avenue Malick SY
DAKAR";0;0
873;P-044A-07/BD;1406;07/03/2007;1800000;01/03/2007;8 Mois;1077-CT-07;"SEBATCO S/C AGETIP  
Bd Djily MBAYE x BÈranger FERRAUD
BP 143 -Dakar";1;0
874;P-075-07/BD;1407;21/03/2007;84745;21/03/2007;;1087-CT-07;SEBATCO / M. le Directeur  Sicap libertÈ VI Extension ? Villa N∞8759 bis BP : 10783 ? Dakar;0;0
875;P-019A-07/BD;1408;17/04/2007;3500000;01/04/2007;12 Mois;1098-CT-07;SEBTPA / M. Djiby  GUEYE CitÈ  Bakhdate GS N∞ 8 ? BP 8 LOUGA;0;0
876;P-281-07/BD;1410;15/11/2007;1000000;15/11/2007;6 Mois;1213-CT-07;SEMPRES  / Madame la Directrice   N∞7, Nord Foire  - DAKAR ;0;0
877;P-255-07/BD;1411;16/10/2007;1500000;01/10/2007;6 Mois;1195-CT-07;SEMSER Monsieur le Directeur   OUEST FOIRE, VILLA N∞11 DAKAR;0;0
878;P-248-07/BD;1412;08/10/2007;2000000;01/10/2007;6 Mois;1193-CT-07;"SEPS (SÈnÈgalaise d'Equipements et de Prestations et Services) 
Monsieur le Directeur  	
Quartier Escale ? Rue de Paris, 
THIES";0;0
879;P-133A-07/SN;1413;16/07/2007;15000000;01/07/2007;18 Mois;1147-CT-07;"SERGI SARL  / M. Alioune DIACK   GÈrant 	        
Point E   BoulEvard de l? Est  - Immeuble Ibrahima NDIAYE 
DAKAR ";0;0
880;P-052-07/BD;1414;28/02/2007;1000000;01/02/2007;4 Mois;1073-CT-07;SGE / Monsieur le Directeur  Zone A, N∞ 54 A   DAKAR;0;0
881;P-091-07/NGD;1415;13/04/2007;600000;13/04/2007;;1096-CT-07;"SICS INTERNATIONAL / Monsieur le Directeur  
1 Rue A x 2 Point E  - DAKAR";0;0
882;P-072-07/BD;1416;23/03/2007;254237;23/03/2007;;1088-CT-07;"SOCER/HYDROTECH - Monsieur le Directeur   Dieuppeul rue 13  BP 17125 
 DAKAR";0;0
883;P-049-07/BD;1417;23/02/2007;1500000;01/02/2007;2 Mois;1069-CT-07;"SOECO / Monsieur Le Directeur
Km 4.8 Bd du Centenaire de la Commune
 DAKAR";0;0
884;P-301-07/BD;1418;05/12/2007;200000;01/11/2007;;1226-CT-07;"SOECO / Monsieur Le Directeur
Km 4.8 Bd du Centenaire de la Commune
DAKAR";0;0
885;P-295-07/BD;1419;05/12/2007;250000;01/11/2007;;1225-CT-07;"SOECO / Monsieur Le Directeur
 Km 4.8 Bd du Centenaire de la Commune
DAKAR";0;0
